N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared		Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Comentario a la fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Descripción del ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase
					m04_s09_132_x	Virgen del Pilar	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Vestimenta: maguey y tela encolada y policromada; bordados con hilos de bronce. Corona: plata laminada y calada. Escultura madera torneada.			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_132_x	 c_11/05_17_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en fibra vegetal (maguey) tema religioso	
					m04_s09_133_x	Virgen del Pilar	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo con sobredorado			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_133_x	c_11/02_01; c_11/02_06_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Oleos de retratos religiosos del cristianísmo	
					m04_s09_134_x	Nacimiento de la Virgen María	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo. marco de madera tallado y dorado			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_134_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s09_135_x	Matrimonio Místico de San José y la Virgen	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Marco: madera tallada dorada y policromada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_135_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s09_136_x	La Anunciación	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Marco: madera tallada dorada y policromada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_136_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s09_137_x	Encuentro de la Virgen y su prima Isabel	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Marco: madera tallada dorada y policromada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_137_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s09_138_x	Tránsito de la Virgen María	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Estatua: madera tallada articulada y policromada. Vestimenta: bordados a mano con hilos de oro y plata. Angeles: Mascaipacha		De especial interés es la escultura, en tamaño natural, del Tránsito de la Virgen, en la que un desconocido artista ha tallado la imagen con la postura de una persona muerta, pero con los ojos abiertos, pues según tradición de la Iglesia, la Virgen no murió, sino que ascendió al Cielo en cuerpo y alma. Sugieren su ascensión 2 pequeños Ángeles tallados en madera, que llevan en la cabeza una mascaypacha de plata. 	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_138_x	 c_11/05_12_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en madera tema relligioso	
					m04_s09_139_x	Tránsito de la Virgen	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Marco: madera tallada dorada y policromada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_139_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s09_140_x	Asunción de la Virgen	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Marco de madera tallada dorada y policromada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_140_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s09_141_x	Coronación de la Virgen	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Marco de madera tallada dorada y policromada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_141_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s09_142_x	Virgen de los 7 dolores con San Francisco y Santo Domingo	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_142_x	c_11/02_06_01; c_11/02_04_01	Pinturas de arte fino	Oleos de retratos religiosos del cristianísmo; Óleos de Imágenes alegóricas religiosas	
					m04_s09_143_x	Virgen de la Candelaria	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		La Virgen de la Candelaria tiene una simbología intersante, tiene forma de triángulo. Durante el período de evangelización y extirpación de idolatrías por parte de los españoles, una de las extirpaciones fue la eliminación de las adoraciones de los pobladores peruanos a los apus.  Entonces ellos colocaban una cruz en la cima de los apus o montañas, como la del Volcán Misti.  Como se dieron cuenta que no iban a colocar con la idolatria, entonces determinaron celebrar las cruces que fueron colocadas en las montañas.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_143_x	c_11/02_01; c_11/02_06_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Oleos de retratos religiosos del cristianísmo	
					m04_s09_144_x	Virgen Dolorosa Entronizada	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Escultura: madera tallada y policromada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_144_x	 c_11/05_12_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en madera tema relligioso	
					m04_s09_145_x	Virgen de la Leche	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_145_x	c_11/02_01; c_11/02_06_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Oleos de retratos religiosos del cristianísmo	
					m04_s09_146_x	Virgen de la Leche	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Escultura: maguey y tela encolada y policromada			Siglo XVII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_146_x	 c_11/05_17_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en fibra vegetal (maguey) tema religioso	
					m04_s09_147_x	Virgen del Rosario	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Escultura: madera tallada Vestimenta: bordados con hilos de oro y plata		Virgen del Rosario: Vinculada a la Orden de Predicadores Dominicos, sostiene al Niño Dios y un rosario en las manos, portando corona y rodeádose en ocasiones por un conjunto de doce estrellas.	Siglo XVII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_147_x	 c_11/05_12_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en madera tema relligioso	
					m04_s09_148_x	Virgen del Carmen	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Vestimenta: maguey tela encolada y policromada. Corona: bronce dorado		"Virgen del Carmen:  Usualmete se la representa Ataviada con hábito carmelita con escudo en el pecho, porta corona y sostiene escapulario y al Niño Diios.                                                          Descripción física: Figura femenina de bulto completo
y de vestir, de pie, con sus brazos extendidos y manos
abiertas. Viste túnica café ribeteada en pasamanería dorada
con banda rectangular central bordada con aplicaciones en
diseño floral. Sale desde los hombros manto blanco ribeteado
con pasamanería dorada. Rostro con ojos de vidrio y pelo
largo rizado oscuro con aplicaciones metálicas enroscadas.
Porta corona metálica formada por cuatro brazos decorados
unidos en una circunferencia y rematada con pequeña"	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_148_x	 c_11/05_17_01	Escultura como arte fino	Escultura en bulto redondo de cuerpo entero en fibra vegetal (maguey) tema religioso	
					m04_s09_149_x	Inmaculada Concepción	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo con sobredorado. Marco: madera tallada y dorada.		"REVISAR SOLO MODELO: Obra rectangular, orientación horizontal. Composición en base a figura femenina de pie rodeada de ángeles, entre nubes. La figura tiene la mirada dirigida hacia arriba y las manos dispuestas a la altura del pecho, viste una túnica blanca y un manto azul. A sus pies pequeños querubines desnudos en distintas posiciones, en la esquina inferior izquierda se distingue un querubín sosteniendo un escudo redondo. También se distinguen cabezas aladas en el margen superior. Fondo con nubes.

ICONOGRAFÍA: ""Esta dinámica Inmaculada, interpretada con tan intenso dinamismo, en un revuelo de ángeles y nubes, y poseída por un viento que hace girar en remolino el manto azul que se enrosca a su cuerpo, es un ejemplo muy expresivo de la pintura madrileña del último tercio del siglo XVII que, a partir de la bula alcanzó un espectacular desarrollo del tema, parejo al que alcanzaba en Sevilla por obra de Murillo"" (Pérez Sánchez, Alfonso, Pintura Española en Chile, página 30 y 31).

"	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_149_x	c_11/02_01; c_11/02_06_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Oleos de retratos religiosos del cristianísmo	
					m04_s09_150_x	Inmaculada Concepción	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo con sobredorado. Marco: madera tallada y dorada		"En el lado opuesto a la puerta de ingreso, hay un lienzo con marco dorado de la Inmaculada Concepción, que por el estilo y calidad de la técnica de ejecución, podría atribuirse al círculo artístico del reconocido pintor cuzqueño del siglo XVIII, Diego Quispe Tito                                                                                            ""REVISAR SOLO MODELO: Obra rectangular, orientación horizontal. Composición en base a figura femenina de pie rodeada de ángeles, entre nubes. La figura tiene la mirada dirigida hacia arriba y las manos dispuestas a la altura del pecho, viste una túnica blanca y un manto azul. A sus pies pequeños querubines desnudos en distintas posiciones, en la esquina inferior izquierda se distingue un querubín sosteniendo un escudo redondo. También se distinguen cabezas aladas en el margen superior. Fondo con nubes.

ICONOGRAFÍA: """"Esta dinámica Inmaculada, interpretada con tan intenso dinamismo, en un revuelo de ángeles y nubes, y poseída por un viento que hace girar en remolino el manto azul que se enrosca a su cuerpo, es un ejemplo muy expresivo de la pintura madrileña del último tercio del siglo XVII que, a partir de la bula alcanzó un espectacular desarrollo del tema, parejo al que alcanzaba en Sevilla por obra de Murillo"""" (Pérez Sánchez, Alfonso, Pintura Española en Chile, página 30 y 31).

"""	Fines siglo XVII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_150_x	c_11/02_01; c_11/02_06_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Oleos de retratos religiosos del cristianísmo	
					m04_s09_151_x	Virgen de la Misericordia	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación				Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_151_x	c_11/02_01; c_11/02_06_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Oleos de retratos religiosos del cristianísmo	
						SALA 10: LOCUTORIO GENERAL -  SALA DE LA VIDA COTIDIANA I															"En este ambiente, anexo a la enfermería, se expone parte de la colección de esculturas y pinturas de Ángeles y Arcángeles del Monasterio. Uno de los más importantes aportes que hicieron los artistas andinos al arte universal, es la creación iconográfica de los ángeles y arcángeles como guerreros celestiales, que armados de arcabuces, hacían frente a los ejércitos del mal. Nuestro Museo no tiene Arcángeles Arcabuceros, pero se exponen aquí interesantes representaciones de ángeles, como la gran escultura de porte militar de San Miguel Arcángel, de factura quiteña (pues tiene el rostro y las manos de plomo vaciado, técnica típica de la escultura de Quito).                   Este locutorio servía para recibir a las visitas importantes, como la visita de un obispo o autoridad provincial. La visita era breve.  Tras la reja se encontraban las monjas y se puede ver una tela negra que cubría la reja para impedir que las monjas puedan ser vistas por la visita. Las visitas de familiares de las monjas podría darse sólo una vez al mes.  La monja que recibía visita debía estar siempre acompañada de otra monja llamada ""madre escucha"".  En la actualidad se exhiben piezas de los quehacer diarios y cotidianos de las monjas.  Esta sala hoy, como parte del museo, muestra objetos relacionados con la vida cotidiana del Monasterio, y de las labores de las monjas de clausura, tales como objetos musicales, de farmacia, confección de hostias e incienso, cocina y algunas pinturas, entre otros.    "																												
					m04_s10_152_x	"Salterio Partituras y equipo de pintura

"	Desconocido	No aplica	No registra información	Salterio: Instrumento musical. partituras: accesorios musiales.  equipo de pintura	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	OJO		El salterio es un instrumento de cuerda pulsada, o a veces percutida, que consiste en una caja de resonancia sobre la que se extienden las cuerdas, que son pulsadas por los dedos o golpeadas con palos. Se lo considera precursor del clavicémbalo.                                                          El Salterio, es un instrumento musical creado desde tiempos antiguos, dentro de sus principales características se encuentra que es elaborado con cuerdas, proporcionando a quienes lo tocan una agradable melodía, en el siguiente artículo conoceremos todo lo relacionado a este asombroso instrumento y también descubriremos cuales son los detalles que lo hace tan especial.                  																								m04_s01_152_x	c_06/02_02; c_06/02_01; c_04/11_01	Herramientas y equipos musicales; herramientas y equipos para pintura	Equipos musicales; accesorios musicales; herramientas y equipos de pintura	
					m04_s10_153_x	Confección de Vestiduras de Imágenes	Desconocido	No aplica	No registra información	Equipo de costura, para confeccionar vestimenta del convento	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación				Primera mitad siglo XX																							m04_s01_153_x	c_04/13_01	Herramientas y equipos para trabajos textiles	Equipo de costura	
					m04_s10_154_x	Retrato de la Madre Catalina Correa antes de ingresar al Monasterio	Desconocido	No aplica	No registra información	Homenajear y rememorar el valioso trabajo delpersonaje	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo. marco: madera tallada y dorada		Fue una monja carmelita muy reconocida por los carmelitas, arequipeña. La familia correa vivía en la primer cuadra de la Merced. Ingresa al monasterio por voluntad propia y le pide a su abuelo ingresar al monasterio. Su abuelo era un hombre muy pudiente, y se sentió muy feliz de la decisión de su nieta, pues al ingresar al monasterio contribuiría a elevar el estatus de la familia, ya que era conocido que todos aquellos que formaban parte del segmento eclesiástico, como monjes y monjas, eran muy bien instruidos académicamente, obteniendo un conocimiento muy elevado. El entrega su dote y tres regalos: el primero de ellos                                                    	alrededor de 1750	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_154_x	c_11/02_06_01	Pinturas de arte fino	Oleos de Retratos religiosos del cristianismo	
					m04_s10_155_x	"Depósitos de hierbas
 de la farmacia, Plancha para hacer hostias, moldes para hacer inciensos"	Desconocido	No aplica	No registra información	Contenedor para guardar hiervas medicinales. Fabricación de hostias e inciensos	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Varios		Jarrones donde guardaban coca, usada como medicina tradicional. Actualmente quienes elaboran hostias son las monjas del convento de Santa Rosa.  	Siglo XIX																							m04_s01_155_x	c_07/01_01; c_04/01_05; c_05/06	Objetos para manipulación y transporte; Herramientas yequipos para procesamiento y preparación de alimentos; Herramientas y equipos quimicos	Contenedores; Equipo de procesamiento de alimentos; herramientas y equipos quimicos	
					m04_s10_156_x	Implementos de cocina. Izquierda materos	Desconocido	No aplica	No registra información	Utencilios para la cocina diaria y contenedor de hiervas para hacer mate	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Varios		"Los cubiertos son de cobre.  En la época en Arequipa existía la costumbre de ""matear"", como en Argentina, Urguay y Paraguay,  es decir preparar un te de hierbas o mate, en un objeto llamado ""matero"" el cual se exhibe en esta vitrina."	Siglo XIX																							m04_s01_156_x	c_04/01_04; c_04/01_06;  c_04/02_06; 	Herramientas y equipos para procesamiento y preparación de alimentos; Herramientas y equipos para servir alimentos	Equipo de preparación de alimentos; Equipo de almacenamiento de alimentos; Utencilios para servir alimentos	
					m04_s10_157_x	Alegoría del Monasterio de Santa Teresa	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo			1711	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_157_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s10_158_x	Monjas cocinando	Desconocido	No aplica	No registra información	Ilustrar y registrar graficamente escenas del la lida conventual	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_158_x	c_11/02/11_01	Pinturas de arte fino	Oleos de imagenes de género costumbrista	
					m04_s10_159_x	Éxtasis de Santa Teresa y San Juan de la Cruz en el Locutorio	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre lienzo		Juan de la Cruz: Carmelita místico y poeta, viste hábito, porta cruz, libro y pluma, en ocasiones, también un lirio.	Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_159_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s10_160_x	Patrocinio de San José sobre la orden Carmelita	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre liezo			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_160_x	c_11/02_01; c_11/02_04_01	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa; Óleos de Imágenes alegóricas religiosas	
					m04_s10_161_x	Crucifijo con Dios Padre, El Espíritu Santo, Santa Rosa y Santa Teresa	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Oleo sobre madera			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_161_x	c_11/02_01 	Pinturas de arte fino	Oleo de Imagenes de la historia religiosa	
					m04_s10_162_x	Vitrina conteniendo : Dos Relojes de arena, una tablilla y una campana de aviso	Desconocido	No aplica	No registra información	Objetos para medir el tiempo	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Varios			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_162_x	c_08/03_05; c_02/07_06	Objetos ceremoniales de comunicación; Acesorios de almacenamiento y visualización	Objetos religiosos del cristianismo; Otros accesorios para el hogar	
					m04_s10_163_x	Manuscrito de la Crónica del Monasterio de 1700 a 1800	Desconocido	No aplica	No registra información	Documento de registro histórico	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Papel y tinta		manuscrito del historiador arequipeño Francisco Javier Echevarria, escrito en 1802, relatando el detalle la historia de la fundación del Monasterio y sus primeros 92 años. 	1800	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_163_x	c_08/04_09; c_08/04_10	Objetos documentales de comunicación	Objetos memorables y conmemorativos, Otros documentos (manuscritos)	
					m04_s10_164_x	Moneda Macuquina	Desconocido	No aplica	No registra información	Medio de intercambio	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Plata martillada		Esta moneda tiene un simbología propia e interpretación, diversas líneas horizontes y verticales que la dividen en la cara y dicen a qué seca pertenecen, también las iniciales y la persona que elaboró la moneda y el valor de la moneda.  Luego de ello muchas macuquinas fueron elaboradas pero hasta cierta época las macuquinas mantienen ese valor, luego ya se crea el banco de........ 12:13 min. y luego en la República el Banco Central de Reserva del Perú y las monedas empiezan a tener un concepto más amplio, como papeles de valor y billetes. Esta moneda es una de las donaciones que se da a finales del siglo XVII para la construcción del Monasterio.  Las monjas conservaron esta moneda porque muy pocas son en forma de corazón, incluso hay un grupo de coleccionistas incluyen en la ruta numismática a la ciudad de Arequipa. La seca en Arequipa estaba ubicado en el local actual de Casa Andina, en Ugarte y la oficina era en el local del BCR.   Con el nombre de macuquina se conoce en la América Española al tipo de moneda acuñada toscamente en forma manual y a golpes de martillo, método ampliamente utilizado desde el siglo XVI hasta mediados del siglo XVIII                                                                          moneda de plata: se trata de una Macuquina conmemorativa, acuñada en 1702 para recordar la llegada al trono de Felipe V de España. Es posible, por el año de acuñación (1702, año del comienzo de las obras de construcción del monasterio), que esta haya sido una de las primeras donaciones de dinero para la construcción de este Monasterio. 	1702	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_164_x	c_12/08_01; c_12/15	Orfebrería y platería como arte decorativo; Numismática	Objetos de orfebrería y platería religiosa; Numismática	
					m04_s10_165_x	Manuscrito con tabla de oficios	Desconocido	No aplica	No registra información	Registro memorable de los inicios del convento	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Papel y tinta		Acta firmada después de la reunión de Capítulo, realizada por las hermanas. La madre priora siempre revisaba el acta de la reunión. Este es un fragmento original de una de las actas.	alrededor de 1760	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_165_x	c_08/04_09; c_08/04_10	Objetos documentales de comunicación	Objetos memorables y conmemorativos, Otros documentos (manuscritos)	
					m04_s10_166_x	Izquierda: coquero. Derecha: Ánfora	Desconocido	No aplica	No registra información	Objetos de guardar	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Coquero: madera taraceada. Anfora: madera con bajo relieves			Coquero: Siglo XVIII. Anfora: Siglo XVI	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_166_x	c_12/20	Trabajos en madera como arte decorativo / Artesania en madera	Trabajos en madera como arte decorativo / Artesania en madera	
					m04_s10_167_x	Disciplinas	Desconocido	No aplica	No registra información	Instrumento usado por las monjas para penitencia	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Alambre			Siglo XIX																							m04_s01_167_x	c_03/03_05	Equipo personal	Objetos personales de sacrificio usados en el cristianismo	
					m04_s10_168_x	Escribanía	Desconocido	No aplica	No registra información	Pieza de escritorio para colocar los materiales de escritura	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Madera, Tinteros de vidrio			Siglo XIX																							m04_s01_168_x	C_06/08_01	Herramientas y equipos para comunicación escrita	Accesorios o medios de escritura	
					m04_s10_169_x	Tijera despabiladora. Palmatoria. Libros traídos por la fundadoras.	Desconocido	No aplica	No registra información	Elemento utilizado para apagar las velas. Elemento utilizado para colocar las velas ceremoniales. Elemento para ilustrary educar.	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Tijera: Metal. Palmatoria: bronce. Libros: Papel, cartón, tinta			Tijera y palmatoria: siglo XVIII. Libros: ca 1700																							m04_s01_169_x	c_08/03_05; c_11/11_01	Objetos ceremoniales de comunicación; Libros / álbumes de arte fino	Objetos religiosos del cristianismo; Libros de arte fino - libros ilustrados	
					m04_s10_170_x	Retrato del Obispo Moscoso y Peralta	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo. Marco: madera tallada y dorada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_170_x	c_11/02_06_01	Pinturas de arte fino	Oleos de Retratos religiosos del cristianismo	
					m04_s10_171_x	Retrato de María del Espíritu Santo y Butrón. Primera priora del Monasterio	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura: oleo sobre lienzo. Marco: madera tallada y dorada			Mediados del siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_171_x	c_11/02_06_01	Pinturas de arte fino	Oleos de Retratos religiosos del cristianismo	
					m04_s10_172_x	"Retrato de la Madre Inés de Moscoso, quien incentivó
 la construcción del Monasterio pero no lo vio"	Desconocido	No aplica	No registra información	Evangelizar visualmente a traves del arte	Monasterio de San José y Santa Teresa					No registra información	No registra información	Buen estado de conservación	Pintura:oleo sobre lienzo. Marco: madera tallada y dorada			Siglo XVIII	Ninguno	p_05_33	Siglo XVIII (arte barroco)																				m04_s01_172_x	c_11/02_06_01	Pinturas de arte fino	Oleos de Retratos religiosos del cristianismo	
						SALA 11 : LOCUTORIO DE LA COMUNIDAD - SALA DE LA VIDA COTIDIANA II															En esta sala se muestra, además de algunos cuadros, parte de la porcelana que tenía el monsterio. Muchas de estas piezas fueron entregadas como parte de las dotes de las novicias. Este Locutorio, con una sola abertura hacia la sala exterior, servía para que toda la Comunidad de monjas pueda recibir alguna visita especial, por ello tiene un pequeño torno, por el que las religiosas podían agasajar a la visita con algún dulce. Aquí se muestra ahora una selección de piezas de porcelana. Lo más probable, es que las vajillas aquí presentadas, llegaron a Santa Teresa como parte de la dote que la familia de cada monja tenía que entregar al Monasterio para la manutención de la nueva religiosa. La dote, dicen los documentos, se podía dar toda en dinero, o completar con propiedades, joyas y otros objetos de valor																												
