N° del inventario	DESCRIPCIÓN	FOTO O PINTURA	Sala	Vitrina / Pared	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Cometarios al Creador del Objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto en centímetros	Dimensión: Ancho en centímetros	Dimensión: Largo en centímetros	Dimensión: Profundidad en centímetros	Peso	Estado actual del objeto	Material del objeto (tècnica usada)	Código de Meta-descripción	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte o Código de la Fecha	Comentario a la fecha de creación del objeto/obra de arte	Código Período	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Fecha de adquisición como propiedad suya	Fecha de ingreso al museo	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	List de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos			Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	List de enlaces que describen la clase
	Mapa geográfico del Perú con próceres				m02_s06_251_x	Mapa geográfico Històrico del Perú	Desconocido		No asignado	Información cultural e histórica y como archivo documental 	Museo  Convento La Recoleta	130	73.3	No registra	No registra	No registra	Mal estado de conservación	Impresión sobre papel	md_05 	"Mapa Geográfico e Histórico del Perú, hecho en a escala en de 1:300.000. Arededor del mapa se pueden observar retratos de personajes destacados e ilustres de la historia del Perú a partir de la conquista, hasta la república. La publicación de este mapa se habria realizado entre los años de 1899 a 1911. Incluye publicidad de ""Joya Literaria""; libreria y centro de suscripciones; encuadernación de J. Boix Ferrer. "	1899	alrededor de	p_02_03_01	Epoca republicana aristocrática	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Biblioteca	"Sala 6 ""Biblioteca"""					m02_s06_251_x	c_08/04_05	Objetos documentales de comunicación	Objetos y documentos gráficos - arquitectónicos	
	Libro coral con grabados en Latín, contemporáneo				m02_s06_252_p	Libro coral con grabados en Latín, contemporáneo	Desconocido		No asignado	Libro de cantos para ser seguido por el coro de los monasterios, catedrales y conventos	Museo  Convento La Recoleta	57	5	42	No registra	No registra	Regular estado de conservación	Piel de animal y tinta	md_05, md_06	"Este libro ha sido  confeccionado artesanalmente por los religiosos del Convento.  Sus hojas son de pergamino,  hechas con  piel de oveja;  la tapa es de madera forrada con piel de vaca, color cuero. En su interior las páginas tienen notación musical gregoriana. Las letras, salvo las iniciales y las capitales, van en color negro.
La escritura es la gótica libraría redonda humanística, de módulo grande con un gran número de abreviaturas de tipo eclesiástico.
Algunas páginas presentan en su margen inferior derecho los reclamos; esto es, la primera sílaba con la que comienza la palabra del folio siguiente.  Asimismo, la mayoría de las páginas están numeradas.      "	Desconocida	Ninguno	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Biblioteca	"Sala 6 ""Biblioteca"""					m02_s06_252_x	c_08/03_05; c_11/06_01; c_11/11_01	Objetos ceremoniales de comunicación; Trabajos de arte fino (en papel u otros materiales); Libros / álbumes de arte fino	Objetos religiosos del cristianismo (texto religioso); Trabajos de arte fino en papel; Libros de arte fino - libros ilustrados	
	Marcas de fuego en hierro forjado				m02_s06_253_x	"Vitrina con instrumento ""Marcas de fuego en hierro forjado"" y libros marcados"	Desconocido		No asignado	Marcador de libros para identificar las bibliotecas de los colegios y conventos a las que pertenecían .	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No aplica	Buen estado de conservación	No aplica	md_05 	"Las marcas de fuego eran una herramienta fundamental para la ubicación exacta del colegio o convento al que perteneció determinado volumen
 Las marcas de fuego en los libros antiguos, que se empezaron a utilizar en la Nueva España a partir del siglo diecisiete, para proteger del robo a las bibliotecas religiosas e identificar la biblioteca a la que pertenecía cada ejemplar, ahora son una herramienta fundamental para la ubicación exacta del colegio o convento al que perteneció determinado volumen, luego de la dispersión de los acervos de las bibliotecas novohispanas con la promulgación de las Leyes de Reforma en el siglo XIX.
 La marca de fuego es el resultado de colocar sobre los cantos de un libro o papel un hierro candente con alguna insignia, figura, sigla, nombre, sello, etcétera, y así poder identificar al dueño del libro o su procedencia.
Los libros que se muestran en la vitrina fueron marcados con la letra ""R"" a su ingreso al Convento de la Recoleta, probablemente en el siglo XVIII.  "	p_05_29	Ninguno	p_03_05_03	Arte Barroco (europa)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Siglo XVIII	Biblioteca	"Sala 6 ""Biblioteca"""					m02_s06_253_x	c_06/08_01	Herramientas y equipos para comunicación escrita	Accesorios o medios de escritura	
	"Edición de ""El ingenioso hidalgo"" publicado en 1674 en Madrid. Fue la primera edición con láminas"				m02_s06_254_x	"Vitrina con libros de la Edición de ""El Ingenioso Hidalgo"" publicado en 1674 en Madrid. Fue la primera edición con láminas"	De Cervantes Saavedra, Miguel	Miguel de Cervantes Saavedra	No asignado	Instrucción literaria	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No aplica	Regular estado de conservación	Impresión a tinta sobre papel	md_05 	"En la vitrina se muestra la Nueva Edición del libro ""El Ingenioso Hidalgo Don Quijote de la Mancha"" corregida por la Real Academia Española e impresa en Madrid - España en el año 1782.  El Quijote fue  escrito por Miguel de Cervantes y es uno de los clásicos de la literatura universal.  Inicialmente fue considerado como una lectura ligera, pero a final del siglo dieciocho se empezó a tomar con más seriedad, y en 1780 la Real Academía de la Lengua Española publicó la que hasta ahora se considera como la edición más importante. Primero fue  impreso en una edición de lujo de cuatro tomos,  con el  mejor papel e ilustraciones de los mejores artistas de la época.  La segunda edición, que es la exhibida en este Convento,  fué publicada en 1782 por la misma Academia, con un menor formato para ser más accequible su adquisición.   Es importante mencionar que el autor del grabado de la carátula del libro fue Antonio Carnicero, uno de los más importantes y reconocidos artistas de España de esa época y  pintor de cámara de la Corte de Carlos III de España."	1600	Alrededor de	p_03_05_03, p_06_03	Arte Barroco (europa), Edad moderna	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Biblioteca	"Sala 6 ""Biblioteca"""					m02_s06_254_x	c_11/06_01; c_11/11_01	Trabajos de arte fino (en papel u otros materiales); Libros / álbumes de arte fino	Trabajos de arte fino en papel; Libros de arte fino - libros ilustrados	
	Libro prohibido escrito en latín				m02_s06_255_x	"""La Constantia"" Libro ""expurgado"" escrito en latín"	Justus Lipsius		No asignado	Instrucción literaria	Museo  Convento La Recoleta	27	17	No registra	No registra	No registra	Regular estado de conservación	Impresión a tinta sobre papel	md_05 	"La ""Constantia""  obra del autor Justus Lipsius, es uno de los libros ""expurgados"" por la Santa Inquisición, pues contiene  pasajes que tuvieron orden de ser  eliminados o tachados con tinta.  Este libro fue publicado por primera vez en 1584, inspirado en los diálogos de Séneca, fue fundamental para establecer una adaptación del estoicismo y el cristianismo que se conoció como neostoicismo y es uno de los textos más importantes de este movimiento histórico intelectual que se inició a finales del siglo dieciseis y se desarrolló hasta el siglo dieciocho. El libro escrito en latín es una de las publicaciones más exitosas y efectivas del período moderno temprano, eminentemente importante  en la historia de la filosofía y la educación, después de que su traducción de 1599 tuviera que ser utilizada para investigaciones relevantes.  Justus Lipsius, nacido en Holanda en 1547 y fallecido en 1606, fue un humanista, filósofo y profesor.  Dentro de sus libros destacados se encuentra su Politicorum Sive Civilis Doctrinae que es un tratado de la construcción del Derecho Civil en su contexto ético.  La Inquisición ordenó tambièn que ciertas partes de este libro fueran expurgadas.  Cabe señalar que la Congregación de la Santa Inquisición de la Iglesia Católica, surgida en el año 1478 hasta 1834 fue fundada por los Reyes Católicos para mantener la ortodoxia católica en sus reinos 1834, estableció un Índice de Libros Prohibidos en 1559.  El propósito de la lista era prevenir la corrupción de la fe, evitando la lectura de libros que se apartaran del dogma, contuvieran herejías o fuesen inmorales.  El Índice también incluyó algunas obras científicas.  En el año de 1583 la Inquisición publicó una nueva edición de ""Libros Prohibidos"" y en 1584 de ""Libros expurgados"" estos últimos podían circular si los pasajes relevantes citados en el Índice [expurgatorio] eran eliminados o tachados con tinta negra. La Edición número 32, publicada en 1948, contiene 4000 titulos censurados por varias razones: herejía, deficiencia moral, contenido sexual explícito o tendencias políticas incorrectas.  La práctica de crear este libro de listas fue abolida en 1966 por el Papa Paulo VI.  Otra edición de la misma obra, mostrada también aquí, evade las instrucciones de las autoridades. Hugo Grotius (1583-1645) fue un jurista de la república holandesa. Su De Jure Belliac Pacis (Onthe Law of War and Peace) muestra aquí una edición de 1719, considerada el mayor trabajo de derecho internacional primario. Grotius fue colocado en la lista porcreencias protestantes y sus críticas de la conducta cristiana durante la tercera guerra mundial. Este permaneció en la lista hasta 1901.  Erasmus de Rotterdam (1466-1536) su trabajo completo fue puesto en la primera lista de libros prohibidos. Aunque este filósofo y erudito fue un devoto católico, él fue crítico de algunas ideas de la iglesia y de los excesos, y por consiguiente las autoridades desaprobaron sus escritos."	1584	Alrededor de	p_06_03	Edad Moderna	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Biblioteca	"Sala 6 ""Biblioteca"""					m02_s06_255_x	c_11/06_01; c_11/11_01	Trabajos de arte fino (en papel u otros materiales); Libros / álbumes de arte fino	Trabajos de arte fino en papel; Libros de arte fino - libros ilustrados	
	Vitirina con escrituras con pluma y tinta				m02_s06_256_x	Textos antiguos escritos con pluma y tinta	Desconocido		No asignado	Evangelizar y estudio	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No aplica	Regular estado de conservación	Impresión a tinta sobre papel	md_05 	Esta vitrina contiene libros antiguos destacando temas  religiosos, tales como devocionario y reflexiones.  Cabe resaltar el valor que tuvo la forma de impresión y encuadernación de la época, la misma que se puede apreciar en los libros expuestos.  La imprenta llegó a las Américas, México y Perú en el siglo XVI, un siglo antes de su introducción a las colonias inglesas. Para la impresión de libros se requirió la importación de papel y caracteres, durante un largo periodo. Otros materiales requeridos para la encuadernación, como pieles (cueros de llama u oveja) cuerdas e hilos se producían localmente y erán más fáciles de adquirir.   	Desconocida	Ninguno	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Biblioteca	"Sala 6 ""Biblioteca"""					m02_s06_256_x	c_08/03_05; c_11/06_01; c_11/11_01	Objetos ceremoniales de comunicación; Trabajos de arte fino (en papel u otros materiales); Libros / álbumes de arte fino	Objetos religiosos del cristianismo (texto religioso); Trabajos de arte fino en papel; Libros de arte fino - libros ilustrados	
	Paleografia española de 1846 - Barcelona				m02_s06_257_x	Paleografía española de 1846 - Barcelona	Esteban Paluzie		No asignado	Instructivo sobre las escrituras antiguas	Museo  Convento La Recoleta	No registra	49	79	No registra	No registra	Regular estado de conservación	Impresión a tinta sobre papel	md_05 	"Esta obra es un trabajo caligráfico excepcional de todos los alfabetos antiguos y modernos encontrados en España. El autor escribe el trabajo entero a mano, incluyendo un reporte histórico de cada alfabeto y lo trabaja  dentro del proceso litográfico. Para profundizar, la paleografía de Palucie es un resumen de las paleografías publicadas en España en el siglo XVIII. Comprende una sucinta historia, de la escritura, adornada con los caracteres antiguos y modernos que cada nación ha tenido: un resumen del Ensayo sobre los alfabetos de las letras desconocidas que se encuentran en las mas antiguas medallas y monumentos de España,  un estracto del Alfabeto de la lengua primitiva de España, un diccionario de las abreviaturas romanas que se hallan en las lápidas: varias inscripciones romanas, godas, árabes, hebreas y cristianas,   lo mas selecto de la Paleografía española,  lo mas esencial de la Escuela paleográfica y la Paleografía Catalana.  Sobre el autor: Esteban Paluzíe y Cantalozella nació en Barcelona el 26 de enero de 1806 y murió el  9 de julio de 1873; fue un paleógrafo, pedagogo y anticuario liberal.
Cabe señalar que la paleografía es la ciencia que estudia las escrituras antiguas y cuyo conocimiento permite la lectura de documentos de distintas épocas y escrituras diversas."	1846	Ninguno	p_03_05_05	Arte neoclásico (europa)	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Biblioteca	"Sala 6 ""Biblioteca"""					m02_s06_257_x	c_08/04_06; c_11/11_01	Objetos documentales de comunicación; Libros/álbumes de arte fino	Documentos de instrucción; Libros ilustrados	
	Vitrina con escrituras en quechua				m02_s06_258_x	Vitrina con textos pedagógicos en quechua	1. Manual Gramàtica y conversaciòn de Efraìn Benitz Aragón y Carmen Chacón.  2. Gramàtica Quechua por Josè Dionicio Anchorena 1874. 3. Ortografía y Ortología Qjeswa Por Fermìn Luna Pozo. Gramática elemental de la lengua Keshua en 20 lecciones. Tipografìa del Colegio de Propaganda FIDE del Perù 1905. 4. Vocabulario castellano y  Keshua de Ayacucho y Junín, tomado del políglota incacico, compuesto por algunos religiosos franciscanos misioneros e los colegios de Propaganda FIDE del Perú 1905.		No asignado	Aprendizaje del idioma quechua, para evangelizar a las comunidades peruanas de habla quechua	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No aplica	Regular estado de conservación	Impresión a tinta sobre papel	md_05 	"Estos textos sirvieron a los Misioneros Recoletos como medio de enseñanza pedagógica básica dirigida a los pobladores indígenas, en su propia lengua ""el quechua"".  Entre estos textos se contaban los de gramática, vocabulario, ortografía, ortología y diccionarios; además de textos religiosos básicos que sirvieron en  la misión de evangelizar a los nativos indígenas. "	Desconocida	Ninguno	Desconocido	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Biblioteca	"Sala 6 ""Biblioteca"""					m02_s06_258_x	c_11/06_01; c_11/11_01; c_08/04_06;	Trabajos de arte fino (en papel u otros materiales); Libros / álbumes de arte fino; Objetos documentales de comunicación	Trabajos de arte fino en papel; Libros de arte fino - libros ilustrados; Documentos de instrucción	
																																														
	SALA 7 DE NUMISMÁTICA					SALA 7 DE NUMISMÁTICA																																								
																																														
	Bonos de reconstrucción y desarrollo de 1983 a 1985				m02_s07_259_x	Cuadro con Bonos de reconstrucción y desarrollo de 1983 a 1985	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Papel	No aplica	Bonos impagos de la Reforma Agraria. Un bono es un valor mobiliario de renta fija que representa una acreencia contra la empresa emisora. 	Entre 1983 a 1985	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_259_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Representación de billetes nuevos soles, serie 1991 al 2006 y diseño actual del 2009 al 2013				m02_s07_260_x	Cuadro con Representación de billetes nuevos soles, serie 1991 al 2006 y diseño actual del 2009 al 2013	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Papel	No aplica	Representación de billetes nuevos soles, serie 1991 al 2006 y diseño actual del 2009 al 2013	Entre 1991 al 2013	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_260_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Billetes del Inti, serie de 1985 a 1991				m02_s07_261_x	Cuadro con Billetes del Inti, serie de 1985 a 1991	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Papel	No aplica	Billetes del Inti, serie de 1985 a 1991.  Estos billetes fueron emitidos durante el Gobierno del Presidente Alan García, un período crítico en la economía del Perú, donde se hacía imposible llevar a cabo la operaciones comerciales con la moneda Sol de Oro debido al elevado número de cifras a utilizarse. Entonces se emitieron billetes con valores desde los 10 hasta los 5 millones de intis.	Entre 1985 a 1991	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_261_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Billetes soles de oro, emisión 1976				m02_s07_262_x	"Cuadros con Billetes Soles de Oro ""Emisión 1976"" (1976-1985)"	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Papel	No aplica	Se le conoce con este nombre a los billetes emitidos desde 1976, en pleno gobierno del General Francisco Morales Bermúdez, hasta mediados de 1985 durante todo el gobierno del arquitecto Fernando Belúnde Terry.  Tienen un diseño y tamaño totalmente nuevos y debido a la crisis económica inicia con una denominación de 100 Soles, para luego extenderse hasta los 50 000 Soles. 	1976	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_262_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Billetes soles de oro en series de 1968, 1969 a 1975 y una emisión de 1976				m02_s07_263_x	"Cuadro con Billetes Soles de Oro ""Serie Velazco"" de 1968 a 1975 y una emisión de 1976"	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Papel	No aplica	Esta serie fue denominada numismáticamente con el nombre del que fue presidente del Perú, el militar Juan Velasco Alvarado, con la finalidad de diferenciarlos y ubicarlos correctamente en línea temporal  del resto de emisiones de los denominados Soles de Oro.  La iconografía en esta nueva serie, a diferencia de las imágenes alegóricas de las anteriores series, presenta a personalidades de nuestra historia. 	Entre 1968 a 1976	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_263_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	"Pintura de óleo en lienzo de ""San Francisco de Asís"" que por error artístico el santo lleva 3 brazos"				m02_s07_264_p	Pintura de San Francisco de Asís	Desconocido		No asignado	Evangelizar	Museo  Convento La Recoleta	200	139	No registra	No registra	No registra	Buen estado de conservación	Oleo sobre lienzo	No aplica	"Pintura de óleo en lienzo de ""San Francisco de Asís"" que por error artístico el santo lleva 3 brazos"	Desconocida	Ninguno	No registra	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_264_x	c_11/02_06_01	Pinturas de arte fino	Retratos religiosos del cristianismo	
	"Billetes soles de oro con el título ""Serie Libertad Sentada"" de 1962 a 1968 y de 1962 a 1965"				m02_s07_265_x	"Cuadro con Billetes soles de oro con el título ""Serie Libertad Sentada"" de 1962 a 1968 y de 1962 a 1965. "	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Papel	No aplica	"Billetes soles de oro con el título ""Serie Libertad Sentada"" de 1962 a 1968 y de 1962 a 1965"	Entre 1962 a 1968	Ninguno	p_02_04	Contemporáneo	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_265_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	"Soles de oro con el título ""Serie Libertad Sentada"" 1946 a 1955 y 1956 a 1961"				m02_s07_266_x	"Cuadro con Soles de oro con el título ""Serie Libertad Sentada"" 1946 a 1955 y 1956 a 1968"	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	 Alpaca	No aplica	"Soles de oro con el título ""Serie Libertad Sentada"" 1946 a 1955 y 1956 a 1961                                                     Esta serie de monedas, presentada con los bordes estriados. Su peso unitario es de 7,32 g y tienen un diámetro de 25,5 mm"	Entre 1946 a 1961	Ninguno	p_02_03	Republicano   	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_266_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	"Billetes soles de oro con el titulo ""Serie Ferrocarril"" 1933 a 1950"				m02_s07_267_x	"Cuadro con Billetes soles de oro con el titulo ""Serie Ferrocarril"" 1933 a 1950"	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Papel	No aplica	"Esta serie es conocida como ""Serie de Ferrrocarril"" ya que en el reverso del billete de mayor denominación se puede apreciar una locomotora. Es la primera serie emitida por el Banco Central de Reserva del Perú, fundado con la finalidad de mantener la estabilidad econónómica de la Nación, para palear las terribles consecuencias que originó en el mundo la Gran Depresión de 1929.  Se aprecia el cambio del patrón monetario que se hizo, migrando de la Libra al Sol de Oro, pero manteniendo los diseños principales en ambos lados del billete.  La empresa American Bank Company de Nueva York fue una vez más la encargada de la impresión de los billetes, agregando 1 centavo hasta 100 Soles de Oro."	Entre 1933 a 1950	Ninguno	p_02_03	Republicano   	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_267_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Libras peruanas de oro de 1922 a 1926				m02_s07_268_x	Cuadro con Libras peruanas emitidas en 1922 a 1926 y Certificados de Depòsito de 1917	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Papel	No aplica	Los billetes con esta denominación fueron emitidos durante la fundación del Banco Central de Reserva del Perú en dos fechas, la primera emisión el 12 de abril de 1922 y la segunda el 11 de agosto de 1926. Y fueron impresos por la American Bank Company de Nueva York. Cuando se creó el Banco Central de Reserva del Perú en 1931 y se adoptó como  unidad monetaria el Sol de Oro, estos billetes fueron resellados en el reverso con el nombre del Banco Central de Reserva del Perú, y el valor de los soles a razón de diez soles por libra y como tales circularon.	Entre 1922 a 1926	Ninguno	p_02_03	Republicano   	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_268_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Billetes del Banco de la República del Perú 1879				m02_s07_269_x	Cuadro con Billetes del Banco de la República del Perú 1879, emitidos durante el gobierno de Manuel Ignacio Prado	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Papel	No aplica	"Estos billetes fueron emitidos por el ""Banco de Perú"", uno de cuyos dueños fue el que llegaría a ser primer presidente civil del país, don Manuel Prado. Esto tuvo lugar al término del apogeo económico que vivía el Perú gracias al boom guanero que contribuyó a la apertura de nuevos bancos con capitales nacionales. Debido al cierre de estas entidades financieras, el estado peruano tuvo que salir al rescate asumiendo una emisión abultada y con pocas posibilidades de cubrir.  La Guerra con Ghile encontró al Perú en ese trance financiero y no hizo sino empeorar la situación.  "	1879	Ninguno	p_02_03	Republicano   	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_269_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Billetes del Banco de Arequipa de 1871 a 1882				m02_s07_270_x	Cuadro con Billetes del Banco de Arequipa de 1871 a 1882	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Papel	No aplica	Billetes del Banco de Arequipa de 1871 a 1882. El Banco de Arequipa surgió de la necesidad de la economía regional de finales del siglo diecinueve, de contar con una entidad financiera.  Fue el primer banco de emisión, ahorro y préstamo, creado en la región en 1871, en plena bonanza económica previa a la guerra con Chile.  Inicia sus operaciones al público el 1 de julio de 1872 en el local de la Calle Merced 106.  Los billetes emitidos por esta entidad financiera tuvieron gran aceptación por parte de la población, debido a la solidez y confianza que proyectaba el banco y además porque estos llevaban diseños representativos de la ciudad, como el billete que muestra al volcán Misti como fondo.	Entre 1871 a 1882	Ninguno	p_02_03	Republicano   	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_270_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
	Billetes Bancos Privados de 1862 a 1879				m02_s07_271_x	Cuadro con Billetes de Bancos Privados de 1862 a 1879, en gobierno de Manuel Prado y Lavalle	Desconocido		No asignado	Medio de intercambio económico	Museo  Convento La Recoleta	No aplica	No aplica	No aplica	No aplica	No registra	Buen estado de conservación	Papel	No aplica	Billetes Bancos Privados de 1862 a 1879.  Emitidos durante el apogeo económico del Perú, gracias al boom guanero.  Durante este tiempo inversionistas nacionales optaron por la creación de nuevos bancos privados.	Entre 1862 a 1879	Ninguno	p_02_03	Republicano   	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Desconocido	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Numismática	"Sala 7 ""Numismática"""					m02_s07_271_x	c_08/05_01; c_12/15	Medios de intercambio; Numismática	Exchange media	
