DESCRIPCIÓN	Sala	Vitrina / Pared	Clase	Código único en la database	Título principal del objeto u obra de arte	Creador del objeto	Número/código asignado por el museo desde ingreso a ser expuesto	Uso que se le dio al objeto	Dueño actual	Dimensión: Alto	Dimensión: Ancho	Dimensión: Largo	Dimensión: Diámetro	Profundidad	Peso	Estado actual del objeto	Material del objeto (TECNICA USADA)	Descripción o nota asociada al objeto	Fecha de creación del objeto/obra de arte	Código del Período o evento	Periodo, evento	Fecha en que se encontró por primera vez el objeto, podría ser la misma fecha de la creation_date.	Fecha en que se encontró por última vez el objeto, podría ser la misma fecha de la creation_date_earliest.	Modificación por adición	Modificación por eliminación	Técnica usada en la modificación	Material usado en la modificación	Fecha de la modificación	Forma como fue adquirido el objeto	Identifica y da crédito a la persona, fundación o método por el cual el objeto fue adquirido  (del/a cual fue adquirido el objeto)	Descripción de donación	Fecha de adquisición como propiedad                 suya ?	Fecha de ingreso al museo	Descripción de ingreso	Departamento dentro del museo responsable por el objeto	Localización del objeto dentro del museo	Lista de enlaces oficiales del objeto dentro del museo 	Lista de enlaces oficial del objeto muy similares que figuran en otros museos	Código único en la database para el objeto	Código único en la database para las clases	Nombre de la clase superior	Nombre de la clase	Lista de enlaces que describen la clase		
Cántaro Wari debajo	1	4		m01_s01_007	Cántaro de  la Cultura Wari 	Artesano wari	No asignado	Objeto utilitario usado  para almacenar, transportar o servir lìquidos, como chicha o agua	Museo Histórico Municipal de Arequipa	16.4 cm	14.3 cm	No aplicable	No definido	No definido	No definido	Conservado	Arcilla	Sobre el objeto: Cántaro monócromo con dos asas verticales en la panela. Esta vasija fue encontrada en el Fundo de Chorunga, provincia de Condesuyos - Arequipa. Sobre la Cultura Wari: Wari o Huari fue  una civilización andina que floreció en el centro de los Andes, aproximadamente desde el siglo VII hsta el XIII d.C. siendo su foco más importante la actual ciudad de Ayacucho. La cerámica Wari estuvo delicadamente realizada con bellos decorados de colores: naranja, blanco crema, negro y marrón,  aunque alguna no usó colores en su decoración.  Sus formas más características fueron los cántaros con cuello cilíndrico y algunos con figuras antropomorfas en alto relieve en el gollete.	Alrededor de los años 700 d.C. - 1000 d.C.	p_01_05	Período Horizonte medio (550 - 1000 d.c.)	Alrededor de los años 600 d.C. - 900 d.c.	Alrededor de los años 600 d.C. - 900 d.c.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Bernedo Málaga, Leonidas	Donado por Monseñor Leonidas Bernedo Málaga, destacado sacerdote arequipeño.  Fundador del Museo Arqueológico de la Universidad Nacional de San Agustín y miembro del Instituto Geográfico de Lima	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_007	c_07/01_01; c_04/01_06; c_04/02_07	Objetos para manipulación y transporte de otros objetos; Herramientas y equipos para el procesamiento de materiales	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Wari; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Wari; Herramientas y equipos para servir alimentos-bebidas-culturas prehispánicas-cultura Wari			
Cántaro Wari izq.	1	4		m01_s01_008	Cántaro de la  Cultura Wari 	Artesano wari	No asignado	Objeto utilitario usado  para almacenar, transportar o servir lìquidos, como chicha o agua	Museo Histórico Municipal de Arequipa	12 cm	14 cm	No aplicable	No definido	No definido	No definido	Conservado	Arcilla	Sobre el objeto: Cántaro monócromo con dos asas verticales en la panela, con decoración antropomorfa en alto relieve en el gollete. Esta vasija fue encontrada en el Fundo de Chorunga, provincia de Condesuyos - Arequipa.  Sobre la Cultura Wari: Wari o Huari fue  una civilización andina que floreció en el centro de los Andes, aproximadamente desde el siglo VII hsta el XIII d.C. siendo su foco más importante la actual ciudad de Ayacucho. La cerámica Wari estuvo delicadamente realizada con bellos decorados de colores: naranja, blanco crema, negro y marrón,  aunque alguna no usó colores en su decoración.  Sus formas más características fueron los cántaros con cuello cilíndrico y algunos con figuras antropomorfas en alto relieve en el gollete.	Alrededor de los años 700 d.C. - 1000 d.C.	p_01_05	Período Horizonte medio (550 - 1000 d.c.)	Alrededor de los años 600 d.C. - 900 d.c.	Alrededor de los años 600 d.C. - 900 d.c.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Bernedo Málaga, Leonidas	Donado por Monseñor Leonidas Bernedo Málaga, destacado sacerdote arequipeño.  Fundador del Museo Arqueológico de la Universidad Nacional de San Agustín y miembro del Instituto Geográfico de Lima	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_008	c_07/01_01; c_04/01_06; c_04/02_07	Objetos para manipulación y transporte de otros objetos; Herramientas y equipos para el procesamiento de materiales	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Wari; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Wari; Herramientas y equipos para servir alimentos-bebidas-culturas prehispánicas-cultura Wari			
																																													
Vitrina Cultura Chimú 6 piezas	1	5			Vitrina Cultura Chimú 6 piezas																																								
Jarra escultórica Chimú centro	1	5		m01_s01_009	Cántaro escultórico  de la Cultura Chimú	Artesano chimú	839-1635 (396430750005)	Almacenar, transportar o servir líquidos, como chicha o agua. Rituales funerarios	Museo Histórico Municipal de Arequipa	26 cm	23 cm	No aplicable	No definido	No definido	No definido	Conservado 	Arcilla quemada en tono plomo. En Horno Cerrado. Color negro brillante	Sobre el objeto: Cerámica lenticular escultórica con decoración en alto relieve en la panela.  Sobre la cultura: La cultura Chimú se desarrolló en la costa norte del Perú, entre los años 900 a 1300 d.C. aproximadamente.  La cerámica Chimú mostró evidencias de una producción en serie y una esterotipación de sus diseños. La cerámica característica es de color gris-negro y los diseños son principalmente escultóricos o en relieve, representan toda una serie de frutos y plantas, siempre de utilidad para el hombre, y animales comestibles salvajes, seres humanos realizando todo tipo de actividades y seres míticos. El simbolismo religioso y la visión del mundo en dos planos, el real y el sobrenatural parecen ser los protagonistas del arte chimú. Su cerámica fue utilitaria pero también suntuaria.	Alrededor de los años 1000 d.C. - 1440 d.C.	p_01_06	Período Intermedio Tardío  (John Rowe)	Alrededor de los años 900 d.C.  - 1440 d.C.	Alrededor de los años 900 d.C.  - 1440 d.C.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Escomel, Edmundo 	Doctor Edmundo Escomel, médico psiquiatra, aficionado a la arqueología	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_009	c_07/01_01; c_04/01_06; c_04/02_07;     c_08/03_01	Objetos para manipulación y transporte de otros objetos; Herramientas y equipos para el procesamiento de materiales. Objetos de comunicación-expresión	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Wari; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Wari; Herramientas y equipos para servir alimentos-líquidos-culturas prehispánicas-cultura Wari; Objetos ceremoniales, religiosos, rituales-funerarios, de las culturas prehispánicas			
Jarra escultórica zoomorfa Chimú derecha	1	5		m01_s01_010	Jarra escultórica zoomorfa de la Cultura Chimú	Artesano chimú	839-1635 (8396430750005) 844	Almacenar, transportar o servir líquidos, como chicha o agua. Rituales funerarios	Museo Histórico Municipal de Arequipa	33 cm	22 cm	No aplicable	No definido	No definido	No definido	Buen estado	Arcilla quemada en tono plomo. En Horno Cerrado. Color negro brillante	Sobre el objeto: Cerámica zoomorfa.  Sobre la cultura: La cultura Chimú se desarrolló en la costa norte del Perú, entre los años 900 a 1300 d.C. aproximadamente.  La cerámica Chimú mostró evidencias de una producción en serie y una esterotipación de sus diseños. La cerámica característica es de color gris-negro y los diseños son principalmente escultóricos o en relieve, representan toda una serie de frutos y plantas, siempre de utilidad para el hombre, y animales comestibles salvajes, seres humanos realizando todo tipo de actividades y seres míticos. El simbolismo religioso y la visión del mundo en dos planos, el real y el sobrenatural parecen ser los protagonistas del arte chimú. Su cerámica fue utilitaria pero también suntuaria.	Alrededor de los años 1000 d.C. - 1440 d.C.	p_01_06	Período Intermedio Tardío  (John Rowe)	Alrededor de los años 900 d.C.  - 1440 d.C.	Alrededor de los años 900 d.C.  - 1440 d.C.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Escomel, Edmundo 	Doctor Edmundo Escomel, médico psiquiatra, aficionado a la arqueología	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_010	c_07/01_01; c_04/01_06; c_04/02_07;     c_08/03_01	Objetos para manipulación y transporte de otros objetos; Herramientas y equipos para el procesamiento de materiales	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Wari; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Wari; Herramientas y equipos para servir alimentos-líquidos-culturas prehispánicas-cultura Wari; Objetos ceremoniales, religiosos, rituales-funerarios, de las culturas prehispánicas			
Jarra escultórica Chimú delante  derecha	1	5		m01_s01_011	Botella escultórica antropomorfa de la Cultura Chimú	Artesano chimú	839-1635 (396430750005) 843	Almacenar, transportar o servir líquidos, como chicha o agua. Rituales funerarios	Museo Histórico Municipal de Arequipa	21 cm	13 cm	No aplicable	No definido	No definido	No definido	Conservado REGULAR	Arcilla quemada en tono plomo. En Horno Cerrado. Color negro brillante	Sobre el objeto: Botella globular con pedestal, decoración antropomorfa y zoomorfa en alto relieve en el gollete y la panela.  Sobre la cultura: La cultura Chimú se desarrolló en la costa norte del Perú, entre los años 900 a 1300 d.C. aproximadamente.  La cerámica Chimú mostró evidencias de una producción en serie y una esterotipación de sus diseños. La cerámica característica es de color gris-negro y los diseños son principalmente escultóricos o en relieve, representan toda una serie de frutos y plantas, siempre de utilidad para el hombre, y animales comestibles salvajes, seres humanos realizando todo tipo de actividades y seres míticos. El simbolismo religioso y la visión del mundo en dos planos, el real y el sobrenatural parecen ser los protagonistas del arte chimú. Su cerámica fue utilitaria pero también suntuaria.	Alrededor de los años 1000 d.C. - 1440 d.C.	p_01_06	Período Intermedio Tardío  (John Rowe)	Alrededor de los años 900 d.C.  - 1440 d.C.	Alrededor de los años 900 d.C.  - 1440 d.C.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Escomel, Edmundo 	Doctor Edmundo Escomel, médico psiquiatra, aficionado a la arqueología	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_011	c_07/01_01; c_04/01_06; c_04/02_07;     c_08/03_01	Objetos para manipulación y transporte de otros objetos; Herramientas y equipos para el procesamiento de materiales	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Wari; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Wari; Herramientas y equipos para servir alimentos-líquidos-culturas prehispánicas-cultura Wari; Objetos ceremoniales, religiosos, rituales-funerarios, de las culturas prehispánicas			
Jarra escultórica Chimú delante izquierda	1	5		m01_s01_012	Cántaro escultórica antropomorfa de la Cultura Chimú	Artesano chimú	839-1635 (39643750005) 842	Almacenar, transportar o servir líquidos, como chicha o agua. Rituales funerarios	Museo Histórico Municipal de Arequipa	18 cm	17.5 cm	No aplicable	No definido	No definido	No definido	Conservado REGULAR	Arcilla quemada en tono plomo. En Horno Cerrado. Color negro brillante	Sobre el objeto: Cerámica globular que presenta decoración zoomorfa en alto relieve en el gollete y la panela. Sobre la cultura: La cultura Chimú se desarrolló en la costa norte del Perú, entre los años 900 a 1300 d.C. aproximadamente.  La cerámica Chimú mostró evidencias de una producción en serie y una esterotipación de sus diseños. La cerámica característica es de color gris-negro y los diseños son principalmente escultóricos o en relieve, representan toda una serie de frutos y plantas, siempre de utilidad para el hombre, y animales comestibles salvajes, seres humanos realizando todo tipo de actividades y seres míticos. El simbolismo religioso y la visión del mundo en dos planos, el real y el sobrenatural parecen ser los protagonistas del arte chimú. Su cerámica fue utilitaria pero también suntuaria.	Alrededor de los años 1000 d.C. - 1440 d.C.	p_01_06	Período Intermedio Tardío  (John Rowe)	Alrededor de los años 900 d.C.  - 1440 d.C.	Alrededor de los años 900 d.C.  - 1440 d.C.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Escomel, Edmundo 	Doctor Edmundo Escomel, médico psiquiatra, aficionado a la arqueología	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_012	c_07/01_01; c_04/01_06; c_04/02_07;     c_08/03_01	Objetos para manipulación y transporte de otros objetos; Herramientas y equipos para el procesamiento de materiales	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Wari; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Wari; Herramientas y equipos para servir alimentos-líquidos-culturas prehispánicas-cultura Wari; Objetos ceremoniales, religiosos, rituales-funerarios, de las culturas prehispánicas			
Jarra escultórica Chimú atrás izquierda	1	5		m01_s01_013	Cántaro escultórica de la Cultura Chimú	Artesano chimú	839-1635 (396430750005) 840	Almacenar, transportar o servir líquidos, como chicha o agua. Rituales funerarios	Museo Histórico Municipal de Arequipa	26 cm	16 cm	No aplicable	No definido	No definido	No definido	Conservado REGULAR	Arcilla quemada en tono plomo. En Horno Cerrado. Color negro brillante	Sobre el objeto: Cántaro con decoración en alto relieve en toda la panela y do pequeñas asas en el gollete.  Sobre la cultura: La cultura Chimú se desarrolló en la costa norte del Perú, entre los años 900 a 1300 d.C. aproximadamente.  La cerámica Chimú mostró evidencias de una producción en serie y una esterotipación de sus diseños.  La cerámica característica es de color gris-negro y los diseños son principalmente escultóricos o en relieve, representan toda una serie de frutos y plantas, siempre de utilidad para el hombre, y animales comestibles salvajes, seres humanos realizando todo tipo de actividades y seres míticos. El simbolismo religioso y la visión del mundo en dos planos, el real y el sobrenatural parecen ser los protagonistas del arte chimú. Su cerámica fue utilitaria pero también suntuaria.	Alrededor de los años 1000 d.C. - 1440 d.C.	p_01_06	Período Intermedio Tardío  (John Rowe)	Alrededor de los años 900 d.C.  - 1440 d.C.	Alrededor de los años 900 d.C.  - 1440 d.C.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Escomel, Edmundo 	Doctor Edmundo Escomel, médico psiquiatra, aficionado a la arqueología	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_013	c_07/01_01; c_04/01_06; c_04/02_07;     c_08/03_01	Objetos para manipulación y transporte de otros objetos; Herramientas y equipos para el procesamiento de materiales	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Wari; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Wari; Herramientas y equipos para servir alimentos-líquidos-culturas prehispánicas-cultura Wari; Objetos ceremoniales, religiosos, rituales-funerarios, de las culturas prehispánicas			
																																													
Vitrina Cultura Chuquibamba, Chiribaya y Churajón: 12 piezas más 5 telares	1	6																																											
CHUQUIBAMBA	1	6																																											
Jarra Estilo Chuquibamba	1	6		m01_s01_014	Jarra estilo Chuquibamba	Artesano Chuquibamba	856	Objeto utilitario usado  para almacenar, transportar o servir lìquidos, como chicha o agua	Museo Histórico Municipal de Arequipa	21 cm	25 cm	No aplicable	No definido	No definido	No definido	Conservado BUENO	Arcilla	Sobre el objeto: Jarra con asa que va desde el vertedero hasta la panela. Presenta engobe rojo y figuras geométricas como decoración.  Esta vasija  fue encontrada en el Fundo de Chorunga, provincia de Condesuyos - Arequipa.  Sobre la cultura:  La civilización Chuquibamba se estableció en la capital de Condesuyo, próxima al Cañón del Colca y Siguas, en la misma época que los incas, florecieron después de la caída de Tiwanaku y de Wari, cerca del año 1000 D.C., durante el Periodo conocido como el Intermedio Tardío. Los dibujos chuquibamba son muy similares a los tocapus incas, los cuales eran un estilo de diseño geométrico. Los asentamientos de esta cultura, generalmente identificada con los Collaguas, son especialmente notables en el Valle del Colca.  Su población desarrolló una cerámica y una textilería rica en colores, en la cual se representaron cruces, imàgenes zoomorfas, aves, peces y serpietes y la característica estrella de ocho puntas;   su ceràmica  consiste principalmente en vasos, jarros, càntaros y tazones, los cuales son de color rojo oscuro con decoraciones en negro y blanco, usualmente con diseños delgados y lineales, fueron influenciados por la Cultura Wari.	Alrededor de los años 1000 d.C. - 1440 d.C.	p_01_06	Período Intermedio Tardío  (John Rowe)	Alrededor de los años 900 d.C.  - 1440 d.C.	Alrededor de los años 900 d.C.  - 1440 d.C.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Bernedo Málaga, Leonidas	Donado por Monseñor Leonidas Bernedo Málaga, destacado sacerdote arequipeño.  Fundador del Museo Arqueológico de la Universidad Nacional de San Agustín y miembro del Instituto Geográfico de Lima	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_014	c_07/01_01; c_04/01_06; c_04/02_07	Objetos para manipulación y transporte; Herramientas y equipos para el procesamiento de materiales	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Chuquibamba; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Chuquibamba; Herramientas y equipos para servir alimentos-bebidas-culturas prehispánicas-cultura Chuquibamba;			
Cuenco Chuquibamba	1	6		m01_s01_016	Cuenco Chuquibamba	Artesano Chuquibamba	854	Objeto utilitario usado  para almacenar, transportar o servir lìquidos o alimentos.  También se usaron como objetos ceremoniales  para rituales	Museo Histórico Municipal de Arequipa	8.5 cm	16 cm 	No aplicable	No definido	No definido	No definido	Poco conservado. Reparado	Arcilla	Sobre el objeto:  Cerámica con engobe rojo. Cuenco representado por una línea en la boca. Círculos regulares con puntos interiores y otras figuras zoomorfas.  Color rojo y negro.  Se encuentra fracturada pero ha sido pegada con algún tipo de pegamento para que no se separen los fragmentos.  Esta vasija  habría sido encontrada en el Fundo de Chorunga, provincia de Condesuyos - Arequipa. Sobre la cultura:  La civilización Chuquibamba se estableció en la capital de Condesuyo, próxima al Cañón del Colca y Siguas, en la misma época que los incas, florecieron después de la caída de Tiwanaku y de Wari, cerca del año 1000 D.C., durante el Periodo conocido como el Intermedio Tardío. Los dibujos chuquibamba son muy similares a los tocapus incas, los cuales eran un estilo de diseño geométrico. Los asentamientos de esta cultura, generalmente identificada con los Collaguas, son especialmente notables en el Valle del Colca.  Su población desarrolló una cerámica y una textilería rica en colores, en la cual se representaron cruces, imàgenes zoomorfas, aves, peces y serpietes y la característica estrella de ocho puntas;   su ceràmica  consiste principalmente en vasos, jarros, càntaros y tazones, los cuales son de color rojo oscuro con decoraciones en negro y blanco, usualmente con diseños delgados y lineales, fueron influenciados por la Cultura Wari.	Alrededor de los años 1000 d.C. - 1440 d.C.	p_01_06	Período Intermedio Tardío  (John Rowe)	Alrededor de los años 900 d.C.  - 1440 d.C.	Alrededor de los años 900 d.C.  - 1440 d.C.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Bernedo Málaga, Leonidas	Donado por Monseñor Leonidas Bernedo Málaga, destacado sacerdote arequipeño.  Fundador del Museo Arqueológico de la Universidad Nacional de San Agustín y miembro del Instituto Geográfico de Lima	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_016	"c_07/01_01;
c_04/02_07; c_08/03_01"	Objetos para manipulación y transporte; Herramientas y equipos para el procesamiento de materiales; Objetos de comunicación-expresión; objetos ceremoniales	Contenedores; Equipo de almacenamiento de alimentos; Equipo para servir alimentos			
Cuenco  fracturado Chuquibamba	1	6		m01_s01_019	Cuenco  fracturado Chuquibamba	Artesano Chuquibamba	852	Objeto utilitario usado  para almacenar, transportar o servir lìquidos o alimentos.  También se usaron como objetos ceremoniales  para rituales	Museo Histórico Municipal de Arequipa	8 cm	13 cm	No aplicable	No definido	No definido	No definido	Fracturado	Arcilla	Sobre el objeto:  Cerámica. Cuenco representado por una línea en la boca. Presenta figuras geométricas.  Color rojo, negro y crema.  Cerámica fracturada en un 15%.  Esta vasija  habría sido encontrada en el Fundo de Chorunga, provincia de Condesuyos - Arequipa.  Sobre la cultura:  La civilización Chuquibamba se estableció en la capital de Condesuyo, próxima al Cañón del Colca y Siguas, en la misma época que los incas, florecieron después de la caída de Tiwanaku y de Wari, cerca del año 1000 D.C., durante el Periodo conocido como el Intermedio Tardío. Los dibujos chuquibamba son muy similares a los tocapus incas, los cuales eran un estilo de diseño geométrico. Los asentamientos de esta cultura, generalmente identificada con los Collaguas, son especialmente notables en el Valle del Colca.  Su población desarrolló una cerámica y una textilería rica en colores, en la cual se representaron cruces, imàgenes zoomorfas, aves, peces y serpietes y la característica estrella de ocho puntas;   su ceràmica  consiste principalmente en vasos, jarros, càntaros y tazones, los cuales son de color rojo oscuro con decoraciones en negro y blanco, usualmente con diseños delgados y lineales, fueron influenciados por la Cultura Wari.	Alrededor de los años 1000 d.C. - 1440 d.C.	p_01_06	Período Intermedio Tardío  (John Rowe)	Alrededor de los años 900 d.C.  - 1440 d.C.	Alrededor de los años 900 d.C.  - 1440 d.C.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Bernedo Málaga, Leonidas	Donado por Monseñor Leonidas Bernedo Málaga, destacado sacerdote arequipeño.  Fundador del Museo Arqueológico de la Universidad Nacional de San Agustín y miembro del Instituto Geográfico de Lima	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_017	"c_07/01_01;
c_04/02_07; c_08/03"	Objetos para manipulación y transporte; Herramientas y equipos para el procesamiento de materiales; Objetos de comunicación-expresión	Contenedores, recipientes, cuencos culturas prehispánicas, cultura Chuquibamba; Herramientas y equipos para procesamiento y preparación de alimentos culturas prehispánicas, cultura Chuquibamba, equipo de almacenamiento de alimentos-cuencos; Herramientas y equipos para servir alimentos de las culturas prehispánics, cultura Chuquibamba - vasos para beber - cuencos para beber, vasos para comer - cuencos, accesorios para servicio de alimentos - cuencos, recipientes de servicio -cuencos; Objetos ceremoniales, religiosos, rituales-funerarios, de las culturas prehispánicas			
Vasija Cuello angosto francturada Chuquibamba	1	6		m01_s01_026	Botella fracturada, cuello angosto, Chuquibamba	Artesano Chuquibamba	845	Objeto utilitario usado  para almacenar, transportar o servir lìquidos o alimentos.  También se usaron como objetos ceremoniales  para rituales	Museo Histórico Municipal de Arequipa	14.8 cm	20.2 cm	No aplicable	No definido	14 cm	No definido	Fracturado	Arcilla	Sobre el objeto: Botella gollete, con engobe rojo y decoración de color negro y crema, con presencia de la estrella de ocho puntas en la panela. Se encuentra fracturada en un 30%.  en el gollete y en la panela. Esta vasija  habría sido encontrada en el Fundo de Chorunga, provincia de Condesuyos - Arequipa. Sobre la cultura:  La civilización Chuquibamba se estableció en la capital de Condesuyo, próxima al Cañón del Colca y Siguas, en la misma época que los incas, florecieron después de la caída de Tiwanaku y de Wari, cerca del año 1000 D.C., durante el Periodo conocido como el Intermedio Tardío. Los dibujos chuquibamba son muy similares a los tocapus incas, los cuales eran un estilo de diseño geométrico. Los asentamientos de esta cultura, generalmente identificada con los Collaguas, son especialmente notables en el Valle del Colca.  Su población desarrolló una cerámica y una textilería rica en colores, en la cual se representaron cruces, imàgenes zoomorfas, aves, peces y serpietes y la característica estrella de ocho puntas;   su ceràmica  consiste principalmente en vasos, jarros, càntaros y tazones, los cuales son de color rojo oscuro con decoraciones en negro y blanco, usualmente con diseños delgados y lineales, fueron influenciados por la Cultura Wari.	Alrededor de los años 1000 d.C. - 1440 d.C.	p_01_06	Período Intermedio Tardío  (John Rowe)	Alrededor de los años 900 d.C.  - 1440 d.C.	Alrededor de los años 900 d.C.  - 1440 d.C.	Desconocida	Desconocida	Desconocida	Desconocida	Desconocida	Donación	Bernedo Málaga, Leonidas	Donado por Monseñor Leonidas Bernedo Málaga, destacado sacerdote arequipeño.  Fundador del Museo Arqueológico de la Universidad Nacional de San Agustín y miembro del Instituto Geográfico de Lima	Desconocida	1977-08-15	Ingresa al local actual ubicado en la Plaza San Francisco	"Sala ""Arqueología y etnología"""	Sala 01 Culturas Prehispánicas			m01_s01_026	c_07/01_01; c_04/01_06; c_04/02_07	Objetos para manipulación y transporte de otros objetos; Herramientas y equipos para el procesamiento de materiales	Contenedores, recipientes, jarras, culturas prehispánicas, cultura Chuquibamba; Recipientes para cocinar-utensillos de cocina-equipo de almacenamiento de alimentos-vasijas para almacenar alimentos, culturas prehispánicas, cultura Chuquibamba; Herramientas y equipos para servir alimentos-bebidas-culturas prehispánicas-cultura Chuquibamba			
																																													
CHURAJON																																													
																																													
